Variance,Std_Dev,Label_R
0.000189,0.013747727,0.01
0.000189,0.013747727,0.01
0.00018,0.013416408,0.01
0.00018,0.013416408,0.01
0.000169,0.013,0.01
0.000156,0.012489996,0.01
0.000189,0.013747727,0.01
0.00014,0.01183216,0.01
0.000136,0.011661904,0.01
0.000141,0.011874342,0.01
0.000149,0.012206556,0.01
0.00014,0.01183216,0.01
0.00014,0.01183216,0.01
0.000101,0.010049876,0.01
0.000101,0.010049876,0.01
0.000189,0.013747727,0.01
0.000261,0.016155494,0.01
0.000301,0.017349352,0.01
0.000296,0.017204651,0.01
0.000216,0.014696938,0.01
0.000164,0.012806248,0.01
0.000145,0.012041595,0.01
0.000164,0.012806248,0.01
0.000149,0.012206556,0.01
0.000176,0.013266499,0.01
0.000224,0.01496663,0.01
0.000289,0.017,0.01
0.000244,0.015620499,0.01
0.000301,0.017349352,0.01
0.000356,0.018867962,0.01
0.000341,0.018466185,0.01
0.000325,0.018027756,0.01
0.000376,0.019390719,0.01
0.00022,0.014832397,0.01
0.000209,0.014456832,0.01
0.000249,0.015779734,0.01
0.000236,0.015362291,0.01
0.000236,0.015362291,0.01
0.000416,0.020396078,0.01
0.000361,0.019,0.01
0.000361,0.019,0.01
0.000345,0.018574176,0.01
0.000241,0.015524175,0.01
0.000225,0.015,0.01
0.000204,0.014282857,0.01
0.000204,0.014282857,0.01
0.000269,0.016401219,0.01
0.000349,0.018681542,0.01
0.000356,0.018867962,0.01
0.00032,0.017888544,0.01
0.000356,0.018867962,0.01
0.000344,0.018547237,0.01
0.000356,0.018867962,0.01
0.000361,0.019,0.01
0.000376,0.019390719,0.01
0.000385,0.019621417,0.01
0.00016,0.012649111,0.01
0.000181,0.013453624,0.01
0.000141,0.011874342,0.01
0.000144,0.012,0.01
0.000121,0.011,0.01
0.000129,0.011357817,0.01
0.000116,0.01077033,0.01
0.00012,0.010954451,0.01
0.000109,0.010440307,0.01
0.000109,0.010440307,0.01
0.000109,0.010440307,0.01
0.000101,0.010049876,0.01
0.000101,0.010049876,0.01
0.000165,0.012845233,0.01
0.000164,0.012806248,0.01
0.000144,0.012,0.01
0.000141,0.011874342,0.01
0.000116,0.01077033,0.01
0.000116,0.01077033,0.01
0.000164,0.012806248,0.01
0.000209,0.014456832,0.01
0.000209,0.014456832,0.01
0.000281,0.016763055,0.01
0.000185,0.013601471,0.01
0.000201,0.014177447,0.01
0.000201,0.014177447,0.01
0.000176,0.013266499,0.01
0.00018,0.013416408,0.01
0.000209,0.014456832,0.01
0.000196,0.014,0.01
0.000181,0.013453624,0.01
0.000196,0.014,0.01
0.000144,0.012,0.01
0.000185,0.013601471,0.01
0.000176,0.013266499,0.01
0.000224,0.01496663,0.01
0.000221,0.014866069,0.01
0.000221,0.014866069,0.01
0.000229,0.015132746,0.01
0.000269,0.016401219,0.01
0.000405,0.020124612,0.01
0.000381,0.019519221,0.01
0.000376,0.019390719,0.01
0.000325,0.018027756,0.01
0.000325,0.018027756,0.01
0.000261,0.016155494,0.01
0.000256,0.016,0.01
0.000256,0.016,0.01
0.000164,0.012806248,0.01
0.000176,0.013266499,0.01
0.000121,0.011,0.01
0.000145,0.012041595,0.01
0.000144,0.012,0.01
0.000144,0.012,0.01
0.00016,0.012649111,0.01
0.000169,0.013,0.01
0.000169,0.013,0.01
7.6e-05,0.008717798,0.01
0.00012,0.010954451,0.01
0.000129,0.011357817,0.01
0.000116,0.01077033,0.01
0.000149,0.012206556,0.01
0.000189,0.013747727,0.01
0.0002,0.014142136,0.01
0.000169,0.013,0.01
0.000169,0.013,0.01
0.000169,0.013,0.01
0.000209,0.014456832,0.01
0.000256,0.016,0.01
0.000249,0.015779734,0.01
0.000324,0.018,0.01
0.000261,0.016155494,0.01
0.000216,0.014696938,0.01
0.000285,0.016881943,0.01
0.000216,0.014696938,0.01
0.000169,0.013,0.01
0.000169,0.013,0.01
0.000209,0.014456832,0.01
0.000209,0.014456832,0.01
0.00018,0.013416408,0.01
0.000176,0.013266499,0.01
0.000256,0.016,0.01
0.000256,0.016,0.01
0.000301,0.017349352,0.01
0.0004,0.02,0.01
0.000361,0.019,0.01
0.000369,0.019209373,0.01
